Unnamed: 0,Age,Sex,Job,Housing,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Saving accounts_unknown,Checking account_moderate,Checking account_rich,Checking account_unknown,Risk_good
101,24,1,2,2,2323,36,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
102,24,0,2,1,932,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
103,35,1,2,2,1919,9,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
104,26,1,2,2,2445,12,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
105,39,1,3,1,11938,24,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
106,39,1,3,1,6458,18,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
107,32,1,2,1,6078,12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
108,30,0,2,1,7721,24,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
109,35,1,2,1,1410,14,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
110,31,1,2,1,1449,6,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
111,23,0,2,2,392,15,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
112,28,1,1,2,6260,18,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
113,25,0,2,1,7855,36,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
114,35,1,2,1,1680,12,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
115,47,1,2,1,3578,48,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
116,30,0,3,1,7174,42,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
117,27,0,2,2,2132,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
118,23,0,2,1,4281,33,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
119,36,1,3,1,2366,12,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
120,25,0,2,1,1835,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
121,41,0,3,2,3868,24,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
122,24,1,1,2,1768,12,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
123,63,1,2,0,781,10,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
124,27,0,2,2,1924,18,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
125,30,1,2,1,2121,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
126,40,1,1,1,701,12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
127,30,1,2,1,639,12,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
128,34,1,3,1,1860,12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
129,29,0,2,1,3499,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,24,0,2,1,8487,48,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
131,29,1,2,1,6887,36,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
132,27,1,1,1,2708,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
133,47,1,2,0,1984,18,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
134,21,0,2,1,10144,60,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
135,38,0,2,1,1240,12,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
136,27,1,2,1,8613,27,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
137,66,1,1,1,766,12,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
138,35,1,2,1,2728,15,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
139,44,0,1,2,1881,12,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
140,27,1,0,1,709,6,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
141,30,0,3,1,4795,36,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
142,27,1,3,1,3416,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
143,22,1,2,1,2462,18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
144,23,0,2,1,2288,21,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
145,30,1,2,1,3566,48,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
146,39,0,2,1,860,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
147,51,0,2,1,682,12,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
148,28,1,2,1,5371,36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
149,46,1,2,1,1582,18,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True
150,42,1,2,0,1346,6,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
151,38,1,2,1,1924,10,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
152,24,1,2,1,5848,36,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
153,29,0,2,2,7758,24,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
154,36,1,3,2,6967,24,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
155,20,0,2,2,1282,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
156,48,1,2,1,1288,9,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
157,45,1,1,1,339,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
158,38,1,2,1,3512,24,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
159,34,1,1,1,1898,6,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
160,36,1,2,1,2872,24,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
161,30,0,2,1,1055,18,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
162,36,1,2,1,1262,15,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
163,70,1,3,0,7308,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
164,36,1,2,1,909,36,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
165,32,1,2,1,2978,6,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
166,33,0,2,1,1131,18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
167,20,0,2,1,1577,11,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
168,25,0,2,2,3972,24,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
169,31,1,2,1,1935,24,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
170,33,1,2,2,950,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,26,0,2,1,763,12,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
172,34,0,3,1,2064,24,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
173,33,1,2,1,1414,8,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
174,26,1,2,1,3414,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
175,53,0,3,1,7485,30,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
176,42,1,2,1,2577,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
177,52,1,2,1,338,6,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
178,31,1,3,2,1963,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
179,65,1,2,1,571,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
180,28,1,2,1,9572,36,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
181,30,1,3,1,4455,36,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
182,40,1,1,1,1647,21,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
183,50,1,2,1,3777,24,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True
184,36,1,2,1,884,18,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
185,31,1,2,1,1360,15,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
186,74,0,3,0,5129,9,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
187,68,1,0,0,1175,16,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
188,20,1,2,1,674,12,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
189,33,0,2,1,3244,18,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
190,54,1,3,1,4591,24,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
191,34,1,1,0,3844,48,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
192,36,1,2,1,3915,27,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
193,29,1,2,2,2108,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
194,21,1,2,2,3031,45,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
195,34,0,3,1,1501,9,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
196,28,0,2,1,1382,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
197,27,0,2,2,951,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
198,36,1,2,0,2760,24,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
199,40,1,3,1,4297,18,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
200,52,1,2,1,936,9,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
201,27,1,1,1,1168,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
202,26,1,2,1,5117,27,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
203,21,1,2,2,902,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
204,38,1,1,1,1495,12,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
205,38,1,3,0,10623,30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
206,43,1,2,1,1935,12,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
207,26,1,2,1,1424,12,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
208,21,1,1,1,6568,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
209,55,1,2,1,1413,12,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
210,33,1,2,1,3074,9,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
211,45,0,1,1,3835,36,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
212,50,1,2,1,5293,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,66,1,3,1,1908,30,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
214,51,1,2,1,3342,36,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
215,39,0,1,1,932,6,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
216,31,1,2,1,3104,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
217,23,1,2,1,3913,36,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
218,24,1,1,2,3021,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
219,64,0,2,1,1364,10,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
220,26,1,1,1,625,12,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
221,23,0,2,2,1200,12,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
222,30,1,2,1,707,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
223,32,1,2,1,2978,24,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
224,30,1,2,1,4657,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
225,27,1,2,1,2613,36,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
226,27,1,2,1,10961,48,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
227,53,1,3,0,7865,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
228,22,1,2,1,1478,9,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
229,22,1,2,0,3149,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
230,26,1,2,1,4210,36,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
231,51,1,1,0,2507,9,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True
232,35,1,2,1,2141,12,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
233,25,1,1,1,866,18,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
234,42,1,1,1,1544,4,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
235,30,1,3,1,1823,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
236,23,1,0,1,14555,6,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
237,61,1,1,2,2767,21,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
238,35,0,2,1,1291,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
239,39,1,2,1,2522,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
240,29,0,2,1,915,24,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
241,51,1,2,1,1595,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
242,24,1,2,0,4605,48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
243,27,0,2,1,1185,12,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
244,35,0,1,1,3447,12,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True
245,25,1,2,1,1258,24,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
246,52,1,2,1,717,12,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
247,35,1,2,2,1204,6,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
248,26,1,2,1,1925,24,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
249,22,0,2,2,433,18,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
250,39,0,1,1,666,6,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
251,46,0,1,1,2251,12,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
252,24,0,2,1,2150,30,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
253,35,1,2,1,4151,24,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
254,24,1,2,1,2030,9,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
255,27,1,1,1,7418,60,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
256,35,1,1,1,2684,24,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
257,29,1,2,0,2149,12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
258,23,0,2,1,3812,15,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
259,57,0,1,1,1154,11,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
260,27,1,2,1,1657,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
261,55,0,2,1,1603,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
262,36,1,3,0,5302,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
263,57,0,1,0,2748,12,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
264,32,1,1,1,1231,10,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
265,37,1,2,1,802,15,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
266,36,1,2,1,6304,36,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
267,38,0,2,1,1533,24,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
268,45,1,3,1,8978,14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
269,25,1,2,1,999,24,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True
270,32,1,2,1,2662,18,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
271,37,0,2,2,1402,12,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True
272,36,1,3,0,12169,48,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
273,28,1,2,1,3060,48,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
274,34,1,1,1,11998,30,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
275,32,1,2,1,2697,9,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
276,26,0,2,1,2404,18,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
277,49,1,1,1,1262,12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
278,32,0,2,1,4611,6,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
279,29,1,3,2,1901,24,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
280,23,1,2,2,3368,15,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
281,50,1,2,1,1574,12,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
282,49,1,1,1,1445,18,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
283,63,1,2,1,1520,15,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
284,37,1,2,1,3878,24,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
285,35,0,1,1,10722,47,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
286,26,1,2,1,4788,48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
287,31,1,3,0,7582,48,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
288,49,0,2,1,1092,12,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
289,48,1,2,1,1024,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
290,26,1,2,1,1076,12,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
291,28,1,3,2,9398,36,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
292,44,0,3,0,6419,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293,56,1,2,0,4796,42,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
294,46,1,3,1,7629,48,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
295,26,0,2,1,9960,48,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
296,20,0,2,2,4675,12,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
297,45,1,1,1,1287,10,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
298,43,1,2,1,2515,18,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
299,32,1,2,1,2745,21,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
300,54,0,0,1,672,6,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
301,42,0,2,1,3804,36,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
302,37,1,1,1,1344,24,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
303,49,1,2,1,1038,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
